transaction_id,amount,payment_method,merchant_category,transaction_hour,is_weekend,customer_age_days,customer_avg_amount,amount_deviation,transactions_last_10min,transactions_last_1h,transactions_last_24h,device_age_days,device_transaction_count,location_distance_km,ip_risk_score,failed_attempts_24h,previous_fraud_count,chargeback_history,account_velocity_score,fraud
TX_000001,1802.11,UPI,Food,6,1,1468,566.67,3.17,2,2,6,1370,13,47.31,0.093,0,0,0,0.103,0
TX_000002,955.02,CARD,Electronics,23,1,737,301.7,3.16,3,6,17,969,30,8.71,0.16,0,0,0,0.1,0
TX_000003,2095.8,UPI,Travel,11,0,363,597.73,3.5,4,11,18,574,21,44.1,0.216,1,0,0,0.193,0
TX_000004,5029.27,CARD,Services,6,0,709,1213.41,4.14,2,3,11,1106,27,42.83,0.156,0,0,0,0.174,0
TX_000005,867.7,UPI,Electronics,22,0,603,1259.85,0.69,1,3,15,445,25,32.59,0.25,0,1,0,0.296,0
TX_000006,867.71,NETBANKING,Grocery,5,1,1272,384.49,2.25,1,5,18,116,26,61.96,0.167,0,0,0,0.211,0
TX_000007,5319.92,CARD,Travel,12,0,815,425.18,12.48,3,5,19,951,24,142.8,0.339,0,0,0,0.388,0
TX_000008,2362.4,UPI,Grocery,1,0,1277,1001.44,2.36,3,8,21,604,16,49.61,0.297,0,0,0,0.467,0
TX_000009,685.76,UPI,Services,14,1,459,818.48,0.84,2,6,13,1221,27,5.37,0.159,0,0,0,0.302,0
TX_000010,1886.65,UPI,Travel,3,0,1975,789.7,2.39,3,5,10,282,17,14.1,0.462,1,0,0,0.156,0
TX_000011,689.92,CARD,Gaming,14,0,775,1290.57,0.53,2,4,16,1000,19,60.11,0.369,0,0,0,0.662,0
TX_000012,688.33,CARD,Gaming,23,1,103,852.85,0.81,0,2,3,721,18,3.37,0.103,0,0,0,0.057,0
TX_000013,1396.83,NETBANKING,Electronics,22,0,625,837.36,1.67,2,5,11,354,20,71.7,0.467,0,0,0,0.294,0
TX_000014,161.86,UPI,Travel,0,0,892,486.22,0.33,2,4,11,891,27,3.36,0.135,0,0,0,0.381,0
TX_000015,195.41,UPI,Travel,9,1,914,1278.34,0.15,4,7,12,256,15,67.6,0.404,1,0,0,0.176,0
TX_000016,624.98,UPI,Grocery,7,1,415,413.32,1.51,1,3,12,1431,16,28.17,0.102,1,0,0,0.41,0
TX_000017,398.29,UPI,Fashion,23,0,1116,93.25,4.23,3,7,15,602,29,67.89,0.303,0,0,0,0.544,0
TX_000018,1501.54,NETBANKING,Electronics,23,0,1881,677.0,2.21,3,9,18,1331,20,21.04,0.258,1,0,0,0.211,0
TX_000019,442.29,UPI,Electronics,13,0,551,267.13,1.65,3,5,14,1293,17,334.54,0.044,0,0,0,0.24,0
TX_000020,267.12,UPI,Fashion,3,0,169,209.52,1.27,1,4,17,1399,22,66.11,0.251,0,0,0,0.356,0
TX_000021,4748.81,UPI,Electronics,23,0,658,588.8,8.05,1,3,10,1009,15,98.07,0.399,2,0,0,0.305,0
TX_000022,875.0,CARD,Services,21,0,869,393.16,2.22,2,4,11,908,23,73.69,0.151,0,0,0,0.189,0
TX_000023,1173.24,UPI,Travel,16,1,980,233.29,5.01,2,6,13,188,24,6.53,0.872,5,0,1,0.812,1
TX_000024,263.82,CARD,Services,11,0,1131,625.0,0.42,2,3,10,326,26,2.44,0.091,0,0,0,0.204,0
TX_000025,636.27,UPI,Grocery,6,0,1130,474.89,1.34,3,5,11,946,17,8.62,0.061,0,0,0,0.232,0
TX_000026,1225.28,UPI,Electronics,17,0,1565,856.51,1.43,3,4,9,1109,21,40.35,0.088,0,0,0,0.208,0
TX_000027,346.89,WALLET,Fashion,9,1,1796,619.27,0.56,3,5,12,372,25,65.12,0.094,1,0,0,0.762,0
TX_000028,1596.71,UPI,Grocery,12,0,1922,594.37,2.68,0,5,14,102,21,6.19,0.359,1,0,0,0.469,0
TX_000029,601.46,UPI,Electronics,3,0,395,1038.95,0.58,2,3,9,600,26,87.25,0.169,0,0,0,0.22,0
TX_000030,819.18,CARD,Food,2,1,851,1180.83,0.69,1,7,12,113,15,14.83,0.265,2,0,1,0.174,0
TX_000031,600.82,UPI,Grocery,3,0,1055,329.69,1.82,3,9,17,262,18,6.21,0.19,0,0,0,0.115,0
TX_000032,6990.3,NETBANKING,Electronics,6,1,452,698.43,9.99,2,5,12,896,19,124.79,0.247,1,0,0,0.085,0
TX_000033,1081.93,CARD,Food,22,0,1429,1423.09,0.76,0,2,11,294,20,100.84,0.098,0,0,0,0.055,0
TX_000034,380.81,UPI,Food,5,0,406,728.05,0.52,1,2,9,1143,23,153.75,0.193,0,0,0,0.104,0
TX_000035,2496.25,UPI,Gaming,14,1,472,610.36,4.08,3,9,19,1480,23,25.54,0.132,0,0,0,0.644,0
TX_000036,323.49,UPI,Grocery,4,0,1845,1240.08,0.26,2,4,11,830,11,145.53,0.194,0,0,0,0.179,0
TX_000037,1351.36,CARD,Electronics,5,0,1160,350.72,3.84,0,9,19,968,26,0.32,0.171,0,0,0,0.331,0
TX_000038,154.52,CARD,Grocery,19,0,1596,190.99,0.8,1,5,13,329,25,82.26,0.409,1,0,0,0.282,0
TX_000039,290.56,CARD,Gaming,19,0,365,783.15,0.37,2,4,16,565,27,60.94,0.175,1,0,0,0.599,0
TX_000040,1335.23,NETBANKING,Electronics,20,0,1798,214.76,6.19,1,4,15,4,18,189.65,0.245,0,0,0,0.03,0
TX_000041,2294.95,UPI,Food,7,0,218,362.79,6.31,1,2,7,187,18,1.48,0.267,0,0,0,0.433,0
TX_000042,1301.62,UPI,Travel,6,0,197,782.16,1.66,2,5,14,206,16,147.17,0.137,0,0,0,0.198,0
TX_000043,976.87,CARD,Gaming,16,0,1495,1122.02,0.87,1,4,15,1433,26,107.05,0.093,1,0,0,0.069,0
TX_000044,811.51,WALLET,Fashion,14,0,607,1572.85,0.52,0,1,7,1010,16,53.82,0.32,0,0,0,0.266,0
TX_000045,250.0,WALLET,Grocery,17,0,1752,373.19,0.67,3,3,14,587,18,24.15,0.276,1,0,0,0.363,0
TX_000046,533.87,UPI,Travel,20,0,1789,1913.45,0.28,2,8,13,168,21,173.97,0.066,0,0,0,0.168,0
TX_000047,691.84,UPI,Food,9,0,1882,261.04,2.64,2,7,16,296,18,104.62,0.035,2,0,0,0.329,0
TX_000048,3156.19,NETBANKING,Electronics,20,0,970,3182.78,0.99,1,6,13,991,20,62.03,0.146,1,0,0,0.548,0
TX_000049,1546.3,UPI,Grocery,20,0,1638,2230.61,0.69,1,3,8,389,22,35.57,0.092,0,0,0,0.316,0
TX_000050,188.1,UPI,Gaming,7,0,791,640.26,0.29,2,4,10,836,15,47.9,0.048,0,0,0,0.423,0
TX_000051,1516.38,UPI,Grocery,7,1,778,625.41,2.42,1,8,20,707,26,91.19,0.342,1,0,0,0.125,0
TX_000052,746.14,UPI,Food,9,0,415,2220.77,0.34,2,7,13,443,27,70.54,0.04,0,0,0,0.221,0
TX_000053,557.29,UPI,Gaming,22,0,1351,390.75,1.42,2,5,11,712,14,24.53,0.072,0,0,0,0.12,0
TX_000054,2021.66,CARD,Electronics,19,0,1737,817.6,2.47,1,5,11,1186,22,36.63,0.224,1,0,0,0.241,0
TX_000055,3074.81,CARD,Food,21,0,590,558.48,5.5,1,4,11,116,21,59.28,0.11,0,0,0,0.246,0
TX_000056,2782.99,CARD,Electronics,14,1,699,444.84,6.24,0,5,17,1268,16,125.02,0.265,1,0,1,0.157,0
TX_000057,473.8,CARD,Food,5,1,623,2246.71,0.21,3,4,12,253,11,72.34,0.169,1,0,0,0.401,0
TX_000058,804.96,UPI,Fashion,17,0,504,1231.26,0.65,0,4,14,81,26,142.05,0.104,0,0,0,0.092,0
TX_000059,1527.31,UPI,Grocery,22,1,771,306.84,4.96,2,7,17,1067,26,32.88,0.041,0,0,0,0.293,0
TX_000060,2908.94,CARD,Travel,5,0,1074,3539.81,0.82,0,2,9,1423,15,33.73,0.045,0,0,0,0.44,0
TX_000061,679.14,CARD,Gaming,5,0,90,1578.19,0.43,2,4,8,692,17,103.26,0.242,0,0,0,0.195,0
TX_000062,910.82,CARD,Fashion,8,0,1080,240.5,3.77,3,4,12,148,17,134.52,0.123,1,0,0,0.149,0
TX_000063,362.73,NETBANKING,Grocery,7,1,1751,794.71,0.46,2,4,13,642,22,22.4,0.11,0,1,0,0.241,0
TX_000064,331.55,UPI,Fashion,17,0,377,723.98,0.46,1,3,11,748,21,30.13,0.31,0,0,0,0.339,0
TX_000065,2471.36,CARD,Gaming,14,0,1257,572.41,4.31,0,2,14,145,17,44.76,0.393,0,0,0,0.461,0
TX_000066,4256.66,UPI,Grocery,5,1,645,438.55,9.68,2,4,7,862,25,34.39,0.317,1,0,0,0.25,0
TX_000067,1020.44,CARD,Gaming,3,0,226,1104.41,0.92,0,3,9,802,18,35.64,0.354,0,0,0,0.257,0
TX_000068,2991.51,UPI,Fashion,2,1,675,557.69,5.35,1,4,14,501,13,46.37,0.486,0,0,0,0.426,0
TX_000069,1574.41,UPI,Fashion,14,0,900,203.37,7.7,1,5,12,612,20,17.09,0.189,0,0,0,0.279,0
TX_000070,575.29,UPI,Travel,21,0,532,490.71,1.17,0,4,8,536,17,106.35,0.183,0,0,0,0.311,0
TX_000071,1574.03,NETBANKING,Fashion,7,0,623,2966.79,0.53,0,2,16,714,25,103.51,0.198,0,0,0,0.234,0
TX_000072,5105.31,CARD,Grocery,5,0,1154,161.08,31.5,4,7,13,715,20,4.49,0.571,0,0,0,0.074,0
TX_000073,1058.04,UPI,Services,17,1,1611,210.22,5.01,1,2,11,15,22,39.49,0.114,0,0,0,0.108,0
TX_000074,5242.97,UPI,Electronics,17,1,465,723.89,7.23,3,6,11,1297,16,322.18,0.206,1,1,0,0.413,0
TX_000075,79.86,UPI,Fashion,22,1,1347,296.47,0.27,2,7,14,981,19,46.26,0.039,1,0,0,0.235,0
TX_000076,2494.65,CARD,Electronics,2,0,1667,890.53,2.8,4,7,13,805,20,21.89,0.398,0,0,0,0.151,0
TX_000077,1196.37,NETBANKING,Gaming,10,0,1916,484.32,2.47,0,3,10,427,20,10.96,0.08,0,0,0,0.473,0
TX_000078,813.21,UPI,Fashion,13,1,269,418.77,1.94,1,5,16,770,25,76.62,0.126,0,0,0,0.271,0
TX_000079,1202.02,UPI,Food,8,0,692,812.96,1.48,3,6,20,305,26,1.12,0.142,0,0,0,0.157,0
TX_000080,150.27,CARD,Travel,3,0,273,516.61,0.29,1,3,8,633,23,26.55,0.191,1,0,0,0.155,0
TX_000081,880.36,NETBANKING,Fashion,20,0,1428,356.28,2.46,4,4,14,1037,16,51.12,0.254,0,0,0,0.599,0
